"description"
"Oslo kommune Innkrevingsetaten"
"Ostensjo Havn"
"Overført til annen konto"
"PANDURO KARL JOHANS OSLO"
"PARADIS AVDELIN OPERA GT OSLO"
"PARKERINGS APPEN"
"PARKERINGSSELSKAPET AS"
"PAYPAL INVESTIGATI"
"PAYPAL TIANHEQJZHU"
"PBP AS"
"PLANTASJEN KOTE GENERAL RUGE OSLO"
"PLAYSTATION"
"POINT (A355) OSL LUFTHAVN GARDERMOEN"
"POINT (A384) OSL LUFTHAVN GARDERMOEN"
"POSTEN BRING AS"
"POSTHALLEN DRINKHUB AS"
"POTBELLY #"
"POWER SKULLERUD ENEBAKKVEIEN OSLO"
"PROSHOP.NO"
"Parkovani --"
"Peppes - Lambertset"
"Per Inge Øye Hansen"
"Polarn o Pyret Norge AS"
"Politiets Administrative Center Swift DABADKKK"
"Posten Norge AS Pos"
"RAADHUSET BAR KLINGENBERGG OSLO"
"RAINBOWTEKSTIL.NO"
"RECHARGE AS"
"REMA 1000 KARIH PER KROHGS V OSLO"
"REMA BØLER"
"REMA BØLER BØLERLIA OSLO"
"REMA MALVIK SEN STOKMOVEGEN STJØRDAL"
"REMA VOLDA INDUSTRIGATA VOLDA"
"RINGEN KINO SANNERGT 6D OSLO"
"ROYALDESIGN.NO"
"RUSTAD KJØTT&DAGL. OSLO"
"RUTERAPPEN"
"Raedda Barnen"
"Recharge"
"Recharge AS InvoiceNr"
"Regninger"
"Retrospillkongen"
"Rustadsaga AS"
"Rustadsaga Sportsst"
"Ruter"
"S-Bahn Berlin Automat BSA"
"S-Bahn Berlin Automat BZO"
"SAUTER"
"SCANDLINES DE WEB"
"SENTRALENMAT ØVRE SLOTTSG OSLO"
"SHOP ""WWW.HOSTER.BY"""
"SKJAK KOMMUNE"
"SKORINGEN GRENS GRENSEN OSLO"
"SKULLERUD SPORTS SENTER AS"
"SMS VARSLING TRANS(ER) TYPE"
"SMS/EFAKT TRANS(ER) TYPE"
"SMÅ SPOR OSLO MARKVEIEN OSLO"
"SNACKZONE KLÆBUVN TRONDHEIM"
"SOSTRENE GRENE KONGENS GATE OSLO"
"SPAR KYVANNET KYVANNSVEGEN TRONDHEIM"
"SPOR AV NORD AS TOLLBUGATEN OSLO"
"SPORT OUTLET STRØMSVEIEN OSLO"
"SPRELL BUTIKK A CHRISTIAN MI BERGEN"
"SPURS"
"SQ LOCAL MARKETPLACE"
"ST1 BERKÅK MJUKLIVEIEN RENNEBU"
"STEAM PURCHASE"
"STEPHANIE SKO B UTMARKVEIEN OSLO"
"STIFTELSEN TRON HAVNEGATA TRONDHEIM"
"STOCKFLETHS AVD SCHOUS PLASS OSLO"
"SUNNMØRSBADET LISJEBØVEGEN FOSNAVÅG"
"SUPERMAGNETER.NO"
"SVANEN COCKTAIL KARL JOHANSG OSLO"
"SVEA FINANS AS"
"SWEET DEKOR AS"
"Santander Consumer Bank"
"Santander Consumer Bank As"
"Selfmade NO"
"Selfmade Oslo"
"Sentralen Restauran"
"Silje Midbrød Siristuen"
"Siri Aagedal"
"SkatePro"
"Skatt"
"Skatteetaten - Skatteinnkreving"
"Skiforeningen"
"Skolelyst"
"Småsparing"
"Småsparing stk avrunding"
"SoftWashAS"
"Spar Fil."
"Spotify P36779C316"
"Spotify P38456D6B1"
"Spotify P3936A1B96"
"Spotify P3A33AA369"
"Spotify P3B2BF6BE7"
"Spotify P3C190FF61"
"Spotify P3D120E610"
"SpotifySE"
"Stokke A.S"
"Sunniva Halten"
"Svea Finans AS"
"Swedbank Pay"
"Sweet Dekor As"
"Sykkelrep"
"Sørli parsellhage Parsell Anita og Kjetil"
"TEKNIKDELAR.SE"
"TELENORMARITIME.COM"
"TESLA NORWAY AS"
"THANSEN A/S - A ENEBAKKVEIEN OSLO"
"THAUGLAND AS AB ENEBAKKVEIEN OSLO"
"THE NEW YORK TIMES"
"TINE FOTBALLSKO"
"TOLLGAARDE SCHWEIGAARDS OSLO"
"TONERWEB.NO"
"TOOLZ E-COMMERCE BV"
"TRENINGSAVGIFT"
"TUNEONDESIG"
"TV NO O-"
"Telenor Norge AS"
"Tesla Czech Republic s.r"
"Tesla Inc"
"Tesla_NO"
"Thank you"
"TicketCo AS"
"TicketMaster LLC"
"Til: Boliglån"
"Toppers Desse BE4RY26Z"
"Tur"
"UBER EATS"
"Utdanningsetaten"
"VENDCOMATICAS"
"VERKTER.NO"
"VG+"
"VIKEN TEPPEVASK AS"
"VINMONOPO ALNA OSLO"
"VINMONOPOLET OS UTMARKVEIEN OSLO"
"VY App"
"Vegard Troøyen Foseide"
"Verdensrommet"
"Vesper Gastrobar"
"W.B. Samson Pop-Up"
"WH Smith Norway"
"WIDEROE"
"WWW.VPG.NO"
"Wings Thing B9XGJLYR"
"Wolt"
"XPLORA Mobile AS"
"XXL NOR ALN STRØMSVEIEN OSLO"
"XXL NOR NAF STORGATA OSLO"
"XXL NOR STO GUNNAR SCHJE OSLO"
"XXL.NO Walley"
"YX -ELEVEN NEDRE KALLBA OSLO"
"ZEITLOS EISCAFE"
"ZETA - JACE AI"
"ZETA AI, INC"
"ZOTTER SCHOKOLADE"
"Zalando Payments GmbH"
"Zmrzka"
"aliexpress"
"csibikecom"
"eFaktura AvtaleGiro"
"mai Noeklevann s"
"samsofie.no"
"skolyx.se"
"speidersport.no"
"waveshare"
"Årspris Visa med legitimasjon"
"Årspris Visa uten legitimasjon"
"Øyvind Fagerholt"
